Education Qualification,Subject Expertise,Teaching Years,Student Performance,Attendance,Courses Previously Taught,Seminars Attended,Research Interests,Learning Style,Certifications,Teaching Methodology,Future Courses,Age,Gender,University Type,Publication Count,Student Feedback Score
PhD,Computer Science,18,3.8,78,"Algorithms, Data Structures, Cybersecurity","Cloud Innovations in Computer Science, Data Science in Computer Science, Cybersecurity Trends in Computer Science","Data Structures, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,Data Science,66,Male,State University,5,3.0
Bachelors,Computer Science,3,3.7,77,"Cybersecurity, Artificial Intelligence","Data Science in Computer Science, Cloud Innovations in Computer Science, AI in Computer Science",Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,"Operating Systems, Artificial Intelligence",33,Female,Open University,5,4.7
PhD,Computer Science,18,4.0,72,"Software Engineering, Algorithms","AI in Computer Science, Cloud Innovations in Computer Science","Data Structures, Data Science","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Hands-on Projects,"Artificial Intelligence, Data Science",60,Non-Binary,Open University,10,4.9
PhD,Computer Science,19,3.27,67,"Cybersecurity, Operating Systems","Cybersecurity Trends in Computer Science, Data Science in Computer Science, AI in Computer Science",Artificial Intelligence,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Algorithms,68,Male,Community College,5,3.7
Bachelors,Computer Science,5,3.6700000000000004,70,"Software Engineering, Cybersecurity","Data Science in Computer Science, Cybersecurity Trends in Computer Science, AI in Computer Science",Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Lecture-based,Operating Systems,36,Non-Binary,State University,3,4.7
Bachelors,Computer Science,8,3.6799999999999997,61,"Operating Systems, Cybersecurity, Data Structures",Cybersecurity Trends in Computer Science,Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,"Data Structures, Cybersecurity",34,Male,Community College,3,3.2
Masters,Information Technology,8,3.1199999999999997,53,"IT Project Management, IoT","AI in Information Technology, Data Science in Information Technology, Cloud Innovations in Information Technology",Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Blockchain, Cloud Computing",45,Male,Open University,12,3.1
PhD,Computer Science,11,4.0,63,"Machine Learning, Operating Systems","Data Science in Computer Science, Cybersecurity Trends in Computer Science, AI in Computer Science","Algorithms, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Algorithms, Data Structures",71,Non-Binary,Private University,6,3.4
PhD,Computer Science,14,3.46,60,"Data Structures, Data Science, Software Engineering","Cybersecurity Trends in Computer Science, Data Science in Computer Science, Cloud Innovations in Computer Science","Software Engineering, Algorithms","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,"Machine Learning, Algorithms",60,Female,Community College,8,4.9
Masters,Information Technology,14,4.0,76,"Big Data, Database Systems",AI in Information Technology,Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,IT Project Management,51,Non-Binary,Community College,9,3.2
Masters,Computer Science,14,3.4699999999999998,88,"Operating Systems, Data Structures, Cybersecurity, Data Science","AI in Computer Science, Cybersecurity Trends in Computer Science","Cybersecurity, Data Structures","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Machine Learning,57,Non-Binary,Open University,0,4.4
PhD,Computer Science,22,3.47,81,"Artificial Intelligence, Machine Learning","Cloud Innovations in Computer Science, AI in Computer Science, Cybersecurity Trends in Computer Science",Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,Artificial Intelligence,75,Non-Binary,Private University,19,4.1
Bachelors,Information Technology,5,4.0,94,"Big Data, IoT, Database Systems, IT Project Management",Cybersecurity Trends in Information Technology,"Network Security, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,Blockchain,37,Female,Private University,4,3.8
PhD,Computer Science,16,3.42,90,"Data Structures, Machine Learning, Software Engineering, Artificial Intelligence","Data Science in Computer Science, AI in Computer Science",Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Cybersecurity,59,Non-Binary,Private University,12,3.8
Bachelors,Computer Science,1,3.88,58,"Cybersecurity, Machine Learning","AI in Computer Science, Cloud Innovations in Computer Science, Cybersecurity Trends in Computer Science","Operating Systems, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Machine Learning, Data Science",23,Male,Community College,2,3.1
PhD,Computer Science,17,4.0,61,"Data Structures, Software Engineering, Artificial Intelligence",AI in Computer Science,Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Algorithms,70,Non-Binary,Community College,27,4.9
PhD,Information Technology,16,3.26,71,"Blockchain, Big Data, IoT",Data Science in Information Technology,"IoT, IT Project Management","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,Blockchain,59,Male,Private University,5,3.9
Masters,Computer Science,15,3.52,64,"Software Engineering, Artificial Intelligence","Data Science in Computer Science, Cloud Innovations in Computer Science",Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Data Structures,53,Non-Binary,State University,7,4.9
Masters,Computer Science,8,3.67,55,"Software Engineering, Data Structures",Cybersecurity Trends in Computer Science,"Cybersecurity, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Lecture-based,"Operating Systems, Algorithms",47,Male,Open University,5,3.4
Bachelors,Computer Science,2,3.79,80,"Machine Learning, Artificial Intelligence, Software Engineering",Cloud Innovations in Computer Science,Algorithms,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Data Science, Artificial Intelligence",31,Non-Binary,Private University,4,4.3
Masters,Information Technology,11,3.75,56,"Blockchain, Web Development","Data Science in Information Technology, Cloud Innovations in Information Technology",Network Security,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,Cloud Computing,36,Male,Community College,3,5.0
Bachelors,Computer Science,1,3.6999999999999997,67,"Data Structures, Artificial Intelligence",Data Science in Computer Science,"Cybersecurity, Artificial Intelligence","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Artificial Intelligence,24,Male,Private University,5,3.2
Bachelors,Information Technology,1,4.0,81,"Big Data, Database Systems",Cloud Innovations in Information Technology,"Web Development, Big Data","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Blockchain,31,Male,Community College,5,4.9
PhD,Information Technology,29,3.7600000000000002,93,"IoT, Network Security",AI in Information Technology,"IT Project Management, IoT","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Case Studies,"Network Security, IoT",70,Female,State University,7,4.5
PhD,Computer Science,13,4.0,62,"Machine Learning, Data Science",Cloud Innovations in Computer Science,"Operating Systems, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Data Science, Operating Systems",56,Male,Open University,17,4.3
Masters,Computer Science,13,3.95,83,"Software Engineering, Algorithms, Data Structures, Data Science",Cloud Innovations in Computer Science,"Cybersecurity, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,"Operating Systems, Data Structures",41,Male,Private University,10,4.8
Masters,Information Technology,5,3.15,59,"Cloud Computing, Network Security, Web Development, Database Systems",AI in Information Technology,Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Lecture-based,IT Project Management,48,Female,Private University,5,4.7
Bachelors,Computer Science,1,3.78,96,"Data Structures, Data Science, Software Engineering, Artificial Intelligence","Cloud Innovations in Computer Science, AI in Computer Science, Data Science in Computer Science","Artificial Intelligence, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Flipped Classroom,"Machine Learning, Artificial Intelligence",34,Female,Open University,2,4.0
PhD,Information Technology,21,3.64,90,"Blockchain, IoT, Network Security, IT Project Management","Data Science in Information Technology, Cloud Innovations in Information Technology","Network Security, IoT","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Big Data,61,Non-Binary,Open University,23,4.0
Masters,Computer Science,9,3.85,100,"Data Structures, Software Engineering, Cybersecurity","Cybersecurity Trends in Computer Science, AI in Computer Science",Software Engineering,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Flipped Classroom,Artificial Intelligence,51,Female,Private University,5,3.5
Bachelors,Information Technology,4,3.97,54,"Database Systems, IT Project Management","Cloud Innovations in Information Technology, Data Science in Information Technology, Cybersecurity Trends in Information Technology",IoT,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,Cloud Computing,38,Female,Open University,3,3.5
Masters,Information Technology,17,3.6399999999999997,86,"Network Security, Cloud Computing, Blockchain, IoT","AI in Information Technology, Data Science in Information Technology, Cloud Innovations in Information Technology",Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Web Development, Cloud Computing",43,Male,Private University,6,3.1
PhD,Computer Science,24,3.87,100,"Machine Learning, Cybersecurity, Software Engineering, Data Structures","Cloud Innovations in Computer Science, AI in Computer Science",Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Algorithms, Operating Systems",75,Male,Open University,13,3.8
Masters,Information Technology,12,4.0,83,"Database Systems, IT Project Management, IoT, Network Security","Cloud Innovations in Information Technology, Data Science in Information Technology",Cloud Computing,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,IoT,52,Female,Community College,0,4.4
PhD,Computer Science,28,3.48,68,"Data Structures, Machine Learning",Cybersecurity Trends in Computer Science,"Machine Learning, Artificial Intelligence","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,"Operating Systems, Data Structures",81,Female,Open University,21,4.3
PhD,Computer Science,17,3.94,62,"Artificial Intelligence, Software Engineering, Operating Systems","AI in Computer Science, Data Science in Computer Science",Machine Learning,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AWS Cloud Cert,Case Studies,Machine Learning,56,Female,Open University,12,3.6
PhD,Information Technology,22,3.4899999999999998,67,"IT Project Management, Big Data, Database Systems","Cloud Innovations in Information Technology, Cybersecurity Trends in Information Technology","Big Data, Network Security","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,"Blockchain, Big Data",74,Male,Open University,9,4.8
Bachelors,Computer Science,2,3.6300000000000003,70,"Data Structures, Algorithms","AI in Computer Science, Cybersecurity Trends in Computer Science, Data Science in Computer Science",Cybersecurity,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Certified Educator,Case Studies,"Artificial Intelligence, Algorithms",25,Female,Private University,4,3.4
Masters,Computer Science,5,3.2600000000000002,68,"Software Engineering, Machine Learning, Data Structures, Operating Systems","AI in Computer Science, Data Science in Computer Science, Cloud Innovations in Computer Science","Data Structures, Operating Systems","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Google ML Cert,Hands-on Projects,"Artificial Intelligence, Algorithms",46,Female,Community College,13,4.0
PhD,Computer Science,12,3.4699999999999998,59,"Operating Systems, Data Science, Algorithms","Data Science in Computer Science, Cybersecurity Trends in Computer Science, AI in Computer Science",Operating Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Artificial Intelligence, Machine Learning",51,Female,Community College,15,4.0
PhD,Computer Science,18,3.52,84,"Software Engineering, Machine Learning, Data Science, Algorithms",Cloud Innovations in Computer Science,Data Structures,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,"Algorithms, Data Structures",54,Non-Binary,Community College,21,4.3
Masters,Information Technology,5,3.25,52,"Network Security, Cloud Computing, IoT","Cybersecurity Trends in Information Technology, Cloud Innovations in Information Technology, AI in Information Technology","Big Data, Blockchain","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Data Science Specialization,Hands-on Projects,IoT,42,Non-Binary,Open University,8,3.4
